# date=2026-09-16T00:59:06,gpu=NVIDIA GeForce RTX 3090,driver=616.56,git=6a86c42+dirty,args=--n 8..26
impl,op,n,block_size,run,ms,ok
cpu,compact,8388608,0,4,12.276800,1
cpu,compact,16777216,0,0,24.891701,1
cpu,compact,16777216,0,1,24.560101,1
cpu,compact,16777216,0,2,24.404301,1
cpu,compact,16777216,0,3,24.407200,1
cpu,compact,16777216,0,4,24.602600,1
cpu,compact,33554432,0,0,48.742901,1
cpu,compact,33554432,0,1,49.976700,1
cpu,compact,33554432,0,2,48.430901,1
cpu,compact,33554432,0,3,48.319401,1
cpu,compact,33554432,0,4,48.880100,1
cpu,compact,67108864,0,0,92.588699,1
cpu,compact,67108864,0,1,91.905502,1
cpu,compact,67108864,0,2,93.119102,1
cpu,compact,67108864,0,3,94.827698,1
cpu,compact,67108864,0,4,93.110802,1
cpu_scan,compact,256,0,0,0.000400,1
cpu_scan,compact,256,0,1,0.000300,1
cpu_scan,compact,256,0,2,0.000200,1
cpu_scan,compact,256,0,3,0.000200,1
cpu_scan,compact,256,0,4,0.000200,1
cpu_scan,compact,512,0,0,0.000500,1
cpu_scan,compact,512,0,1,0.000400,1
cpu_scan,compact,512,0,2,0.000500,1
cpu_scan,compact,512,0,3,0.000400,1
cpu_scan,compact,512,0,4,0.000500,1
cpu_scan,compact,1024,0,0,0.000900,1
cpu_scan,compact,1024,0,1,0.000900,1
cpu_scan,compact,1024,0,2,0.000800,1
cpu_scan,compact,1024,0,3,0.000900,1
cpu_scan,compact,1024,0,4,0.000900,1
cpu_scan,compact,2048,0,0,0.002900,1
cpu_scan,compact,2048,0,1,0.001800,1
cpu_scan,compact,2048,0,2,0.002900,1
cpu_scan,compact,2048,0,3,0.001700,1
cpu_scan,compact,2048,0,4,0.001800,1
cpu_scan,compact,4096,0,0,0.006900,1
cpu_scan,compact,4096,0,1,0.003900,1
cpu_scan,compact,4096,0,2,0.003600,1
cpu_scan,compact,4096,0,3,0.003500,1
cpu_scan,compact,4096,0,4,0.003800,1
cpu_scan,compact,8192,0,0,0.009300,1
cpu_scan,compact,8192,0,1,0.008700,1
cpu_scan,compact,8192,0,2,0.007600,1
cpu_scan,compact,8192,0,3,0.007300,1
cpu_scan,compact,8192,0,4,0.007300,1
cpu_scan,compact,16384,0,0,0.023400,1
cpu_scan,compact,16384,0,1,0.025400,1
cpu_scan,compact,16384,0,2,0.021300,1
cpu_scan,compact,16384,0,3,0.020900,1
cpu_scan,compact,16384,0,4,0.018000,1
cpu_scan,compact,32768,0,0,0.057600,1
cpu_scan,compact,32768,0,1,0.059800,1
cpu_scan,compact,32768,0,2,0.062300,1
cpu_scan,compact,32768,0,3,0.060000,1
cpu_scan,compact,32768,0,4,0.057100,1
cpu_scan,compact,65536,0,0,0.129100,1
cpu_scan,compact,65536,0,1,0.131800,1
cpu_scan,compact,65536,0,2,0.131000,1
cpu_scan,compact,65536,0,3,0.135600,1
cpu_scan,compact,65536,0,4,0.133200,1
cpu_scan,compact,131072,0,0,0.273900,1
cpu_scan,compact,131072,0,1,0.293400,1
cpu_scan,compact,131072,0,2,0.269500,1
cpu_scan,compact,131072,0,3,0.269900,1
cpu_scan,compact,131072,0,4,0.279000,1
cpu_scan,compact,262144,0,0,0.864500,1
cpu_scan,compact,262144,0,1,0.928500,1
cpu_scan,compact,262144,0,2,0.874700,1
cpu_scan,compact,262144,0,3,0.866600,1
cpu_scan,compact,262144,0,4,0.884200,1
cpu_scan,compact,524288,0,0,3.077400,1
cpu_scan,compact,524288,0,1,1.751000,1
cpu_scan,compact,524288,0,2,1.799200,1
cpu_scan,compact,524288,0,3,1.664400,1
cpu_scan,compact,524288,0,4,1.694200,1
cpu_scan,compact,1048576,0,0,3.171900,1
cpu_scan,compact,1048576,0,1,3.214200,1
cpu_scan,compact,1048576,0,2,3.289000,1
cpu_scan,compact,1048576,0,3,3.151000,1
cpu_scan,compact,1048576,0,4,3.242800,1
cpu_scan,compact,2097152,0,0,6.352700,1
cpu_scan,compact,2097152,0,1,6.532000,1
cpu_scan,compact,2097152,0,2,6.413000,1
cpu_scan,compact,2097152,0,3,6.496700,1
cpu_scan,compact,2097152,0,4,6.420300,1
cpu_scan,compact,4194304,0,0,12.887100,1
cpu_scan,compact,4194304,0,1,12.964800,1
cpu_scan,compact,4194304,0,2,13.181400,1
cpu_scan,compact,4194304,0,3,13.018800,1
cpu_scan,compact,4194304,0,4,12.921100,1
cpu_scan,compact,8388608,0,0,26.242300,1
cpu_scan,compact,8388608,0,1,25.980000,1
cpu_scan,compact,8388608,0,2,25.880899,1
cpu_scan,compact,8388608,0,3,27.553200,1
cpu_scan,compact,8388608,0,4,25.615900,1
cpu_scan,compact,16777216,0,0,52.411301,1
cpu_scan,compact,16777216,0,1,52.057899,1
cpu_scan,compact,16777216,0,2,54.012001,1
cpu_scan,compact,16777216,0,3,51.156601,1
cpu_scan,compact,16777216,0,4,47.952000,1
cpu_scan,compact,33554432,0,0,103.801201,1
cpu_scan,compact,33554432,0,1,98.184799,1
cpu_scan,compact,33554432,0,2,99.033600,1
cpu_scan,compact,33554432,0,3,98.240196,1
cpu_scan,compact,33554432,0,4,98.971497,1
cpu_scan,compact,67108864,0,0,205.703293,1
cpu_scan,compact,67108864,0,1,202.748306,1
cpu_scan,compact,67108864,0,2,212.547897,1
cpu_scan,compact,67108864,0,3,212.405106,1
cpu_scan,compact,67108864,0,4,209.614594,1
naive,scan,256,32,0,0.058240,1
naive,scan,256,32,1,0.058368,1
naive,scan,256,32,2,0.044032,1
naive,scan,256,32,3,0.057344,1
naive,scan,256,32,4,0.044032,1
naive,scan,512,32,0,0.046944,1
naive,scan,512,32,1,0.026624,1
naive,scan,512,32,2,0.397312,1
naive,scan,512,32,3,0.073632,1
naive,scan,512,32,4,0.063488,1
naive,scan,1024,32,0,0.076800,1
naive,scan,1024,32,1,0.057344,1
naive,scan,1024,32,2,0.072704,1
naive,scan,1024,32,3,0.072576,1
naive,scan,1024,32,4,0.081920,1
naive,scan,2048,32,0,0.067584,1
naive,scan,2048,32,1,0.060416,1
naive,scan,2048,32,2,0.067584,1
naive,scan,2048,32,3,0.074752,1
naive,scan,2048,32,4,0.062304,1
naive,scan,4096,32,0,0.105472,1
naive,scan,4096,32,1,0.062464,1
naive,scan,4096,32,2,0.077824,1
naive,scan,4096,32,3,0.077600,1
naive,scan,4096,32,4,0.080896,1
naive,scan,8192,32,0,0.119808,1
naive,scan,8192,32,1,0.088064,1
naive,scan,8192,32,2,0.091936,1
naive,scan,8192,32,3,0.422912,1
naive,scan,8192,32,4,0.119808,1
naive,scan,16384,32,0,0.095232,1
naive,scan,16384,32,1,0.101184,1
naive,scan,16384,32,2,0.086784,1
naive,scan,16384,32,3,0.119584,1
naive,scan,16384,32,4,0.094208,1
